epoch,learning_rate,train_loss,train_teacher_term,val_rmse,val_mae,val_dry_rmse,seconds,member,seed
1,0.0015,0.010328821539517167,0.008956298075033866,0.18069062468742492,0.1470603421864331,0.1700560384600752,0.099,0,42
2,0.0014989901706696927,0.004269922839470044,0.0022776178203881984,0.1604366233698271,0.12483653633196833,0.15208054186083458,0.077,0,42
3,0.0014959635451497228,0.0033086165387229112,0.0011578697447287177,0.15880889470392082,0.12660598401929352,0.1342621784638533,0.076,0,42
4,0.001490928702738958,0.002984930256949847,0.0007920987280592509,0.15780274258173868,0.12471577154389422,0.13023496420929395,0.077,0,42
5,0.00148389991524523,0.0028909180868002047,0.0006657723922849484,0.15804852470036657,0.12509542222544076,0.11330247533935434,0.076,0,42
6,0.0014748971065303427,0.0027499710115440872,0.0005087131049541598,0.15742724231503216,0.12500597108867328,0.12501354793717867,0.077,0,42
7,0.0014639457960337217,0.002732782542094489,0.0005021167783677915,0.15642208231451993,0.12330872398818944,0.1284845379058577,0.077,0,42
8,0.0014510770264347913,0.002716141666405143,0.0005115005050276158,0.1598725709242737,0.1261762471893316,0.11820621231341001,0.076,0,42
9,0.0014363272756591258,0.002637124335080172,0.0004186874100753793,0.1587608607646102,0.12572872884880015,0.12156193000644028,0.076,0,42
10,0.0014197383534778072,0.0026712877808903013,0.00044788729750889643,0.15825771344841028,0.12387766794058358,0.1157485027485481,0.076,0,42
11,0.0014013572829930869,0.0026160414617624767,0.0003843998841514957,0.16015126876570907,0.1252840513149929,0.10858153574971979,0.077,0,42
12,0.0013812361673462919,0.002578435394309526,0.000344512747176773,0.15823441499250684,0.12340365325925266,0.11995027890237878,0.076,0,42
13,0.0013594320420258115,0.0025971782583872776,0.0003696385032271773,0.15896046219794766,0.12448743093094439,0.11963634572111376,0.076,0,42
14,0.001336006713193808,0.002585684059222986,0.0003810922378205633,0.16058657726622544,0.1253105265379047,0.12262274368679196,0.076,0,42
15,0.0013110265824899355,0.0026054623386621337,0.0004186571062063988,0.15971330812289275,0.12456020030080323,0.12814558312927452,0.076,0,42
16,0.0012845624588086768,0.0025298755543851845,0.000318327638422109,0.1601985757646452,0.12539272423786152,0.1065245425834646,0.076,0,42
17,0.0012566893575838402,0.002539255901148917,0.00034509377407008097,0.16014017966489325,0.12457494806071186,0.11455114704381146,0.076,0,42
